GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Vaadin Addressbook example,com.edurekademo.utilities,GenericComparator,346,0,52,0,76,0,39,0,12,0
Vaadin Addressbook example,com.edurekademo.utilities,PropertyLoader,116,0,22,0,28,0,15,0,4,0
Vaadin Addressbook example,com.edurekademo.utilities,HexAsciiConvertor,77,0,8,0,23,0,7,0,3,0
Vaadin Addressbook example,com.edurekademo.utilities,LoggerStackTraceUtil,110,0,10,0,22,0,9,0,4,0
Vaadin Addressbook example,com.edurekademo.utilities,PropertyHelper,76,0,4,0,28,0,8,0,6,0
Vaadin Addressbook example,com.edurekademo.utilities,CaseInsensitiveComparator,215,0,20,0,46,0,16,0,6,0
Vaadin Addressbook example,com.edurekademo.utilities,GenericComparator.new Object() {...},26,0,0,0,1,0,1,0,1,0
Vaadin Addressbook example,com.edurekademo.utilities,PrepareTargetMethod,23,0,0,0,4,0,2,0,2,0
Vaadin Addressbook example,com.edurekademo.utilities,StringUtilities,281,0,38,0,57,0,25,0,6,0
Vaadin Addressbook example,com.edurekademo.utilities,GenericComparator.CompareMode,41,0,0,0,1,0,4,0,4,0
Vaadin Addressbook example,com.edurekademo.tutorial.addressbook,AddressbookUI.MyUIServlet,3,0,0,0,1,0,1,0,1,0
Vaadin Addressbook example,com.edurekademo.tutorial.addressbook,AddressbookUI,216,0,0,0,42,0,9,0,9,0
Vaadin Addressbook example,com.edurekademo.tutorial.addressbook,ContactForm,195,0,4,0,40,0,9,0,7,0
Vaadin Addressbook example,com.edurekademo.helper,GenericResourceBundle,29,0,4,0,10,0,4,0,2,0
Vaadin Addressbook example,com.edurekademo.tutorial.addressbook.backend,ContactService,375,0,16,0,46,0,15,0,7,0
Vaadin Addressbook example,com.edurekademo.tutorial.addressbook.backend,Contact,103,0,0,0,27,0,15,0,15,0
Vaadin Addressbook example,com.edurekademo.tutorial.addressbook.backend,ContactService.new Comparator() {...},15,0,0,0,2,0,2,0,2,0
